18:06:40.246773 mmap(NULL, 368248, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 28, 0) = 0x7f4f0408b000
18:06:40.247063 mmap(0x7f4f0409d000, 200704, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x12000) = 0x7f4f0409d000
18:06:40.247155 mmap(0x7f4f040ce000, 69632, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x43000) = 0x7f4f040ce000
18:06:40.247211 mmap(0x7f4f040e0000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x54000) = 0x7f4f040e0000
18:06:40.486896 mmap(NULL, 145648, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 28, 0) = 0x7f4f04067000
18:06:40.487184 mmap(0x7f4f0406e000, 81920, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x7000) = 0x7f4f0406e000
18:06:40.487284 mmap(0x7f4f04082000, 24576, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x1b000) = 0x7f4f04082000
18:06:40.487346 mmap(0x7f4f04089000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x21000) = 0x7f4f04089000
18:06:40.589929 mmap(NULL, 49976, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 28, 0) = 0x7f4f0405a000
18:06:40.590180 mmap(0x7f4f0405d000, 20480, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x3000) = 0x7f4f0405d000
18:06:40.590300 mmap(0x7f4f04062000, 8192, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x8000) = 0x7f4f04062000
18:06:40.590388 mmap(0x7f4f04065000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0xa000) = 0x7f4f04065000
18:06:40.591582 mmap(NULL, 74070, PROT_READ, MAP_PRIVATE, 28, 0) = 0x7f4f04047000
18:06:40.601354 mmap(NULL, 2113728, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 28, 0) = 0x7f4ee2b62000
18:06:40.601610 mmap(0x7f4ee2d65000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x3000) = 0x7f4ee2d65000
18:06:42.300860 mmap(NULL, 996, PROT_READ, MAP_SHARED, 29, 0) = 0x7f4f14141000
18:06:42.572766 mmap(NULL, 1740, PROT_READ, MAP_SHARED, 29, 0) = 0x7f4f14141000
18:06:42.956951 mmap(NULL, 186120, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 29, 0) = 0x7f4f0402c000
18:06:42.957189 mmap(0x7f4f04032000, 118784, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x6000) = 0x7f4f04032000
18:06:42.957317 mmap(0x7f4f0404f000, 32768, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x23000) = 0x7f4f0404f000
18:06:42.957378 mmap(0x7f4f04057000, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x2a000) = 0x7f4f04057000
18:06:42.965509 mmap(NULL, 169544, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 29, 0) = 0x7f4f04002000
18:06:42.965645 mmap(0x7f4f0400a000, 90112, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x8000) = 0x7f4f0400a000
18:06:42.965758 mmap(0x7f4f04020000, 32768, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x1e000) = 0x7f4f04020000
18:06:42.965846 mmap(0x7f4f04029000, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 29, 0x26000) = 0x7f4f04029000
18:06:42.970232 mmap(NULL, 4974, PROT_READ, MAP_SHARED, 29, 0) = 0x7f4f14140000
18:06:42.982303 mmap(NULL, 996, PROT_READ, MAP_SHARED, 32, 0) = 0x7f4f1413f000
18:06:42.990451 mmap(NULL, 17275, PROT_READ, MAP_SHARED, 29, 0) = 0x7f4f06403000
18:06:43.040422 mmap(NULL, 35861, PROT_READ, MAP_SHARED, 29, 0) = 0x7f4f063ff000
